Family,ID,Control Name,NIST Control Description
ACCESS CONTROL,AC-4 (21),Information Flow Enforcement | Physical or Logical Separation of Information Flows,Separate information flows logically or physically using [Assignment: organization-defined mechanisms and/or techniques] to accomplish [Assignment: organization-defined required separations by types of information].
ACCESS CONTROL,AC-5,Separation of Duties,"a. Identify and document [Assignment: organization-defined duties of individuals requiring separation]; and
 b. Define system access authorizations to support separation of duties."
ACCESS CONTROL,AC-6,Least Privilege,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks."
ACCESS CONTROL,AC-6 (1),Least Privilege | Authorize Access to Security Functions,"Authorize access for [Assignment: organization-defined individuals or roles] to:
 (a) [Assignment: organization-defined security functions (deployed in hardware, software, and firmware)]; and
 (b) [Assignment: organization-defined security-relevant information]."
ACCESS CONTROL,AC-6 (2),Least Privilege | Non-privileged Access for Nonsecurity Functions,"Require that users of system accounts (or roles) with access to [Assignment: organization-defined security functions or security-relevant information] use non-privileged accounts or roles, when accessing nonsecurity functions."
ACCESS CONTROL,AC-6 (5),Least Privilege | Privileged Accounts,Restrict privileged accounts on the system to [Assignment: organization-defined personnel or roles].
ACCESS CONTROL,AC-6 (7),Least Privilege | Review of User Privileges," (a) Review [Assignment: organization-defined frequency] the privileges assigned to [Assignment: organization-defined roles or classes of users] to validate the need for such privileges; and
 (b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs."
ACCESS CONTROL,AC-6 (9),Least Privilege | Log Use of Privileged Functions,Log the execution of privileged functions.
ACCESS CONTROL,AC-6 (10),Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,Prevent non-privileged users from executing privileged functions.
ACCESS CONTROL,AC-7,Unsuccessful Logon Attempts,"a. Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a [Assignment: organization-defined time period]; and
 b. Automatically [Selection (one or more): lock the account or node for an [Assignment: organization-defined time period]; lock the account or node until released by an administrator; delay next logon prompt per [Assignment: organization-defined delay algorithm]; notify system administrator; take other [Assignment: organization-defined action]] when the maximum number of unsuccessful attempts is exceeded."
ACCESS CONTROL,AC-8,System Use Notification,"a. Display [Assignment: organization-defined system use notification message or banner] to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that:
 1. Users are accessing a U.S. Government system;
 2. System usage may be monitored, recorded, and subject to audit;
 3. Unauthorized use of the system is prohibited and subject to criminal and civil penalties; and
 4. Use of the system indicates consent to monitoring and recording;
 b. Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system; and
 c. For publicly accessible systems:
 1. Display system use information [Assignment: organization-defined conditions], before granting further access to the publicly accessible system;
 2. Display references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and
 3. Include a description of the authorized uses of the system."
ACCESS CONTROL,AC-11,Device Lock,"a. Prevent further access to the system by [Selection (one or more): initiating a device lock after [Assignment: organization-defined time period] of inactivity; requiring the user to initiate a device lock before leaving the system unattended]; and
 b. Retain the device lock until the user reestablishes access using established identification and authentication procedures."
ACCESS CONTROL,AC-11 (1),Device Lock | Pattern-hiding Displays,"Conceal, via the device lock, information previously visible on the display with a publicly viewable image."
ACCESS CONTROL,AC-12,Session Termination,Automatically terminate a user session after [Assignment: organization-defined conditions or trigger events requiring session disconnect].
ACCESS CONTROL,AC-14,Permitted Actions Without Identification or Authentication,"a. Identify [Assignment: organization-defined user actions] that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and
 b. Document and provide supporting rationale in the security plan for the system, user actions not requiring identification or authentication."
ACCESS CONTROL,AC-17,Remote Access,"a. Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and
 b. Authorize each type of remote access to the system prior to allowing such connections."
ACCESS CONTROL,AC-17 (1),Remote Access | Monitoring and Control,Employ automated mechanisms to monitor and control remote access methods.
ACCESS CONTROL,AC-17 (2),Remote Access | Protection of Confidentiality and Integrity Using Encryption,Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.
ACCESS CONTROL,AC-17 (3),Remote Access | Managed Access Control Points,Route remote accesses through authorized and managed network access control points.
ACCESS CONTROL,AC-17 (4),Remote Access | Privileged Commands and Access," (a) Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs: [Assignment: organization-defined needs]; and
 (b) Document the rationale for remote access in the security plan for the system."
ACCESS CONTROL,AC-18,Wireless Access,"a. Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and
 b. Authorize each type of wireless access to the system prior to allowing such connections."
ACCESS CONTROL,AC-18 (1),Wireless Access | Authentication and Encryption,Protect wireless access to the system using authentication of [Selection (one or more): users; devices] and encryption.
ACCESS CONTROL,AC-18 (3),Wireless Access | Disable Wireless Networking,"Disable, when not intended for use, wireless networking capabilities embedded within system components prior to issuance and deployment."
ACCESS CONTROL,AC-19,Access Control for Mobile Devices,"a. Establish configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas; and
 b. Authorize the connection of mobile devices to organizational systems."
ACCESS CONTROL,AC-19 (5),Access Control for Mobile Devices | Full Device or Container-based Encryption,Employ [Selection: full-device encryption; container-based encryption] to protect the confidentiality and integrity of information on [Assignment: organization-defined mobile devices].
ACCESS CONTROL,AC-20,Use of External Systems,"a. [Selection (one or more): Establish [Assignment: organization-defined terms and conditions]; Identify [Assignment: organization-defined controls asserted to be implemented on external systems]], consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to:
 1. Access the system from external systems; and
 2. Process, store, or transmit organization-controlled information using external systems; or
 b. Prohibit the use of [Assignment: organizationally-defined types of external systems]."
ACCESS CONTROL,AC-20 (1),Use of External Systems | Limits on Authorized Use,"Permit authorized individuals to use an external system to access the system or to process, store, or transmit organization-controlled information only after:
 (a) Verification of the implementation of controls on the external system as specified in the organization’s security and privacy policies and security and privacy plans; or
 (b) Retention of approved system connection or processing agreements with the organizational entity hosting the external system."
ACCESS CONTROL,AC-20 (2),Use of External Systems | Portable Storage Devices — Restricted Use,Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using [Assignment: organization-defined restrictions].
ACCESS CONTROL,AC-21,Information Sharing,"a. Enable authorized users to determine whether access authorizations assigned to a sharing partner match the information’s access and use restrictions for [Assignment: organization-defined information sharing circumstances where user discretion is required]; and
 b. Employ [Assignment: organization-defined automated mechanisms or manual processes] to assist users in making information sharing and collaboration decisions."
ACCESS CONTROL,AC-22,Publicly Accessible Content,"a. Designate individuals authorized to make information publicly accessible;
 b. Train authorized individuals to ensure that publicly accessible information does not contain nonpublic information;
 c. Review the proposed content of information prior to posting onto the publicly accessible system to ensure that nonpublic information is not included; and
 d. Review the content on the publicly accessible system for nonpublic information [Assignment: organization-defined frequency] and remove such information, if discovered."
AWARENESS AND TRAINING,AT-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] awareness and training policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the awareness and training policy and the associated awareness and training controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the awareness and training policy and procedures; and
 c. Review and update the current awareness and training:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]."
AWARENESS AND TRAINING,AT-2,Literacy Training and Awareness,"a. Provide security and privacy literacy training to system users (including managers, senior executives, and contractors):
 1. As part of initial training for new users and [Assignment: organization-defined frequency] thereafter; and
 2. When required by system changes or following [Assignment: organization-defined events];
 b. Employ the following techniques to increase the security and privacy awareness of system users [Assignment: organization-defined awareness techniques];
 c. Update literacy training and awareness content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 d. Incorporate lessons learned from internal or external security incidents or breaches into literacy training and awareness techniques."
AWARENESS AND TRAINING,AT-2 (2),Literacy Training and Awareness | Insider Threat,Provide literacy training on recognizing and reporting potential indicators of insider threat.
AWARENESS AND TRAINING,AT-2 (3),Literacy Training and Awareness | Social Engineering and Mining,Provide literacy training on recognizing and reporting potential and actual instances of social engineering and social mining.
AWARENESS AND TRAINING,AT-3,Role-based Training,"a. Provide role-based security and privacy training to personnel with the following roles and responsibilities: [Assignment: organization-defined roles and responsibilities]:
 1. Before authorizing access to the system, information, or performing assigned duties, and [Assignment: organization-defined frequency] thereafter; and
 2. When required by system changes;
 b. Update role-based training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 c. Incorporate lessons learned from internal or external security incidents or breaches into role-based training."
AWARENESS AND TRAINING,AT-4,Training Records,"a. Document and monitor information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy training; and
 b. Retain individual training records for [Assignment: organization-defined time period]."
AUDIT AND ACCOUNTABILITY,AU-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] audit and accountability policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the audit and accountability policy and the associated audit and accountability controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the audit and accountability policy and procedures; and
 c. Review and update the current audit and accountability:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]."
AUDIT AND ACCOUNTABILITY,AU-2,Event Logging,"a. Identify the types of events that the system is capable of logging in support of the audit function: [Assignment: organization-defined event types that the system is capable of logging];
 b. Coordinate the event logging function with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged;
 c. Specify the following event types for logging within the system: [Assignment: organization-defined event types (subset of the event types defined in AU-2a.) along with the frequency of (or situation requiring) logging for each identified event type];
 d. Provide a rationale for why the event types selected for logging are deemed to be adequate to support after-the-fact investigations of incidents; and
 e. Review and update the event types selected for logging [Assignment: organization-defined frequency]."
AUDIT AND ACCOUNTABILITY,AU-3,Content of Audit Records,"Ensure that audit records contain information that establishes the following:
 a. What type of event occurred;
 b. When the event occurred;
 c. Where the event occurred;
 d. Source of the event;
 e. Outcome of the event; and 
 f. Identity of any individuals, subjects, or objects/entities associated with the event."
AUDIT AND ACCOUNTABILITY,AU-3 (1),Content of Audit Records | Additional Audit Information,Generate audit records containing the following additional information: [Assignment: organization-defined additional information].
AUDIT AND ACCOUNTABILITY,AU-4,Audit Log Storage Capacity,Allocate audit log storage capacity to accommodate [Assignment: organization-defined audit log retention requirements].
AUDIT AND ACCOUNTABILITY,AU-5,Response to Audit Logging Process Failures,"a. Alert [Assignment: organization-defined personnel or roles] within [Assignment: organization-defined time period] in the event of an audit logging process failure; and
 b. Take the following additional actions: [Assignment: organization-defined additional actions]."
AUDIT AND ACCOUNTABILITY,AU-6,"Audit Record Review, Analysis, and Reporting","a. Review and analyze system audit records [Assignment: organization-defined frequency] for indications of [Assignment: organization-defined inappropriate or unusual activity] and the potential impact of the inappropriate or unusual activity;
 b. Report findings to [Assignment: organization-defined personnel or roles]; and
 c. Adjust the level of audit record review, analysis, and reporting within the system when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information."
AUDIT AND ACCOUNTABILITY,AU-6 (1),"Audit Record Review, Analysis, and Reporting | Automated Process Integration","Integrate audit record review, analysis, and reporting processes using [Assignment: organization-defined automated mechanisms]."
AUDIT AND ACCOUNTABILITY,AU-6 (3),"Audit Record Review, Analysis, and Reporting | Correlate Audit Record Repositories",Analyze and correlate audit records across different repositories to gain organization-wide situational awareness.
AUDIT AND ACCOUNTABILITY,AU-7,Audit Record Reduction and Report Generation,"Provide and implement an audit record reduction and report generation capability that:
 a. Supports on-demand audit record review, analysis, and reporting requirements and after-the-fact investigations of incidents; and
 b. Does not alter the original content or time ordering of audit records."
AUDIT AND ACCOUNTABILITY,AU-7 (1),Audit Record Reduction and Report Generation | Automatic Processing,"Provide and implement the capability to process, sort, and search audit records for events of interest based on the following content: [Assignment: organization-defined fields within audit records]."
AUDIT AND ACCOUNTABILITY,AU-8,Time Stamps,"a. Use internal system clocks to generate time stamps for audit records; and
 b. Record time stamps for audit records that meet [Assignment: organization-defined granularity of time measurement] and that use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time, or that include the local time offset as part of the time stamp."
AUDIT AND ACCOUNTABILITY,AU-9,Protection of Audit Information,"a. Protect audit information and audit logging tools from unauthorized access, modification, and deletion; and
 b. Alert [Assignment: organization-defined personnel or roles] upon detection of unauthorized access, modification, or deletion of audit information."
AUDIT AND ACCOUNTABILITY,AU-9 (4),Protection of Audit Information | Access by Subset of Privileged Users,Authorize access to management of audit logging functionality to only [Assignment: organization-defined subset of privileged users or roles].
AUDIT AND ACCOUNTABILITY,AU-11,Audit Record Retention,Retain audit records for [Assignment: organization-defined time period consistent with records retention policy] to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.
AUDIT AND ACCOUNTABILITY,AU-12,Audit Record Generation,"a. Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on [Assignment: organization-defined system components];
 b. Allow [Assignment: organization-defined personnel or roles] to select the event types that are to be logged by specific components of the system; and
 c. Generate audit records for the event types defined in AU-2c that include the audit record content defined in AU-3."
SECURITY ASSESSMENT AND AUTHORIZATION,CA-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] assessment, authorization, and monitoring policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the assessment, authorization, and monitoring policy and the associated assessment, authorization, and monitoring controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the assessment, authorization, and monitoring policy and procedures; and
 c. Review and update the current assessment, authorization, and monitoring:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]."
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2,Control Assessments,"a. Select the appropriate assessor or assessment team for the type of assessment to be conducted;
 b. Develop a control assessment plan that describes the scope of the assessment including:
 1. Controls and control enhancements under assessment;
 2. Assessment procedures to be used to determine control effectiveness; and
 3. Assessment environment, assessment team, and assessment roles and responsibilities;
 c. Ensure the control assessment plan is reviewed and approved by the authorizing official or designated representative prior to conducting the assessment;
 d. Assess the controls in the system and its environment of operation [Assignment: organization-defined frequency] to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting established security and privacy requirements;
 e. Produce a control assessment report that document the results of the assessment; and
 f. Provide the results of the control assessment to [Assignment: organization-defined individuals or roles]."
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2 (1),Control Assessments | Independent Assessors,Employ independent assessors or assessment teams to conduct control assessments.
SECURITY ASSESSMENT AND AUTHORIZATION,CA-2 (3),Control Assessments | Leveraging Results from External Organizations,Leverage the results of control assessments performed by [Assignment: organization-defined external organization] on [Assignment: organization-defined system] when the assessment meets [Assignment: organization-defined requirements].
SECURITY ASSESSMENT AND AUTHORIZATION,CA-3,Information Exchange,"a. Approve and manage the exchange of information between the system and other systems using [Selection (one or more): interconnection security agreements; information exchange security agreements; memoranda of understanding or agreement; service level agreements; user agreements; nondisclosure agreements; [Assignment: organization-defined type of agreement]];
 b. Document, as part of each exchange agreement, the interface characteristics, security and privacy requirements, controls, and responsibilities for each system, and the impact level of the information communicated; and
 c. Review and update the agreements [Assignment: organization-defined frequency]."
SECURITY ASSESSMENT AND AUTHORIZATION,CA-5,Plan of Action and Milestones,"a. Develop a plan of action and milestones for the system to document the planned remediation actions of the organization to correct weaknesses or deficiencies noted during the assessment of the controls and to reduce or eliminate known vulnerabilities in the system; and
 b. Update existing plan of action and milestones [Assignment: organization-defined frequency] based on the findings from control assessments, independent audits or reviews, and continuous monitoring activities."
SECURITY ASSESSMENT AND AUTHORIZATION,CA-6,Authorization,"a. Assign a senior official as the authorizing official for the system;
 b. Assign a senior official as the authorizing official for common controls available for inheritance by organizational systems;
 c. Ensure that the authorizing official for the system, before commencing operations:
 1. Accepts the use of common controls inherited by the system; and
 2. Authorizes the system to operate;
 d. Ensure that the authorizing official for common controls authorizes the use of those controls for inheritance by organizational systems;
 e. Update the authorizations [Assignment: organization-defined frequency]."
SECURITY ASSESSMENT AND AUTHORIZATION,CA-7,Continuous Monitoring,"Develop a system-level continuous monitoring strategy and implement continuous monitoring in accordance with the organization-level continuous monitoring strategy that includes:
 a. Establishing the following system-level metrics to be monitored: [Assignment: organization-defined system-level metrics];
 b. Establishing [Assignment: organization-defined frequencies] for monitoring and [Assignment: organization-defined frequencies] for assessment of control effectiveness;
 c. Ongoing control assessments in accordance with the continuous monitoring strategy;
 d. Ongoing monitoring of system and organization-defined metrics in accordance with the continuous monitoring strategy;
 e. Correlation and analysis of information generated by control assessments and monitoring;
 f. Response actions to address results of the analysis of control assessment and monitoring information; and
 g. Reporting the security and privacy status of the system to [Assignment: organization-defined personnel or roles] [Assignment: organization-defined frequency]."
SECURITY ASSESSMENT AND AUTHORIZATION,CA-7 (1),Continuous Monitoring | Independent Assessment,Employ independent assessors or assessment teams to monitor the controls in the system on an ongoing basis.
SECURITY ASSESSMENT AND AUTHORIZATION,CA-7 (4),Continuous Monitoring | Risk Monitoring,"Ensure risk monitoring is an integral part of the continuous monitoring strategy that includes the following:
 (a) Effectiveness monitoring;
 (b) Compliance monitoring; and
 (c) Change monitoring."
SECURITY ASSESSMENT AND AUTHORIZATION,CA-8,Penetration Testing,Conduct penetration testing [Assignment: organization-defined frequency] on [Assignment: organization-defined systems or system components].
SECURITY ASSESSMENT AND AUTHORIZATION,CA-8 (1),Penetration Testing | Independent Penetration Testing Agent or Team,Employ an independent penetration testing agent or team to perform penetration testing on the system or system components.
SECURITY ASSESSMENT AND AUTHORIZATION,CA-8 (2),Penetration Testing | Red Team Exercises,Employ the following red-team exercises to simulate attempts by adversaries to compromise organizational systems in accordance with applicable rules of engagement: [Assignment: organization-defined red team exercises].
SECURITY ASSESSMENT AND AUTHORIZATION,CA-9,Internal System Connections,"a. Authorize internal connections of [Assignment: organization-defined system components or classes of components] to the system;
 b. Document, for each internal connection, the interface characteristics, security and privacy requirements, and the nature of the information communicated;
 c. Terminate internal system connections after [Assignment: organization-defined conditions]; and
 d. Review [Assignment: organization-defined frequency] the continued need for each internal connection."
CONFIGURATION MANAGEMENT,CM-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] configuration management policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the configuration management policy and the associated configuration management controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the configuration management policy and procedures; and
 c. Review and update the current configuration management:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]."
CONFIGURATION MANAGEMENT,CM-2,Baseline Configuration,"a. Develop, document, and maintain under configuration control, a current baseline configuration of the system; and
 b. Review and update the baseline configuration of the system:
 1. [Assignment: organization-defined frequency];
 2. When required due to [Assignment: organization-defined circumstances]; and
 3. When system components are installed or upgraded."
CONFIGURATION MANAGEMENT,CM-2 (2),Baseline Configuration | Automation Support for Accuracy and Currency,"Maintain the currency, completeness, accuracy, and availability of the baseline configuration of the system using [Assignment: organization-defined automated mechanisms]."
CONFIGURATION MANAGEMENT,CM-2 (3),Baseline Configuration | Retention of Previous Configurations,Retain [Assignment: organization-defined number] of previous versions of baseline configurations of the system to support rollback.
CONFIGURATION MANAGEMENT,CM-2 (7),Baseline Configuration | Configure Systems and Components for High-risk Areas," (a) Issue [Assignment: organization-defined systems or system components] with [Assignment: organization-defined configurations] to individuals traveling to locations that the organization deems to be of significant risk; and
 (b) Apply the following controls to the systems or components when the individuals return from travel: [Assignment: organization-defined controls]."
CONFIGURATION MANAGEMENT,CM-3,Configuration Change Control,"a. Determine and document the types of changes to the system that are configuration-controlled;
 b. Review proposed configuration-controlled changes to the system and approve or disapprove such changes with explicit consideration for security and privacy impact analyses;
 c. Document configuration change decisions associated with the system;
 d. Implement approved configuration-controlled changes to the system;
 e. Retain records of configuration-controlled changes to the system for [Assignment: organization-defined time period];
 f. Monitor and review activities associated with configuration-controlled changes to the system; and
 g. Coordinate and provide oversight for configuration change control activities through [Assignment: organization-defined configuration change control element] that convenes [Selection (one or more): [Assignment: organization-defined frequency]; when [Assignment: organization-defined configuration change conditions]]."
CONFIGURATION MANAGEMENT,CM-3 (2),"Configuration Change Control | Testing, Validation, and Documentation of Changes","Test, validate, and document changes to the system before finalizing the implementation of the changes."
CONFIGURATION MANAGEMENT,CM-3 (4),Configuration Change Control | Security and Privacy Representatives,Require [Assignment: organization-defined security and privacy representatives] to be members of the [Assignment: organization-defined configuration change control element].
CONFIGURATION MANAGEMENT,CM-4,Impact Analyses,Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.
CONFIGURATION MANAGEMENT,CM-4 (2),Impact Analyses | Verification of Controls,"After system changes, verify that the impacted controls are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting the security and privacy requirements for the system."
CONFIGURATION MANAGEMENT,CM-5,Access Restrictions for Change,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system."
CONFIGURATION MANAGEMENT,CM-5 (1),Access Restrictions for Change | Automated Access Enforcement and Audit Records," (a) Enforce access restrictions using [Assignment: organization-defined automated mechanisms]; and 
 (b) Automatically generate audit records of the enforcement actions."
CONFIGURATION MANAGEMENT,CM-5 (5),Access Restrictions for Change | Privilege Limitation for Production and Operation," (a) Limit privileges to change system components and system-related information within a production or operational environment; and
 (b) Review and reevaluate privileges [Assignment: organization-defined frequency]."
CONFIGURATION MANAGEMENT,CM-6,Configuration Settings,"a. Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using [Assignment: organization-defined common secure configurations];
 b. Implement the configuration settings;
 c. Identify, document, and approve any deviations from established configuration settings for [Assignment: organization-defined system components] based on [Assignment: organization-defined operational requirements]; and
 d. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures."
CONFIGURATION MANAGEMENT,CM-6 (1),"Configuration Settings | Automated Management, Application, and Verification","Manage, apply, and verify configuration settings for [Assignment: organization-defined system components] using [Assignment: organization-defined automated mechanisms]."
CONFIGURATION MANAGEMENT,CM-7,Least Functionality,"a. Configure the system to provide only [Assignment: organization-defined mission essential capabilities]; and
 b. Prohibit or restrict the use of the following functions, ports, protocols, software, and/or services: [Assignment: organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services]."
CONFIGURATION MANAGEMENT,CM-7 (1),Least Functionality | Periodic Review," (a) Review the system [Assignment: organization-defined frequency] to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and
 (b) Disable or remove [Assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure]."
CONFIGURATION MANAGEMENT,CM-7 (2),Least Functionality | Prevent Program Execution,"Prevent program execution in accordance with [Selection (one or more): [Assignment: organization-defined policies, rules of behavior, and/or access agreements regarding software program usage and restrictions]; rules authorizing the terms and conditions of software program usage]."
